          11           2           8
          15           3           1
          19           4           2
          23           5           3
          27           6           4
          31           7           5
          35           8           6
          39           1           7
           0          10          40
           0          11           9
          12           1          10
           0          13          11
           0          14          12
           0          15          13
          16           2          14
           0          17          15
           0          18          16
           0          19          17
          20           3          18
           0          21          19
           0          22          20
           0          23          21
          24           4          22
           0          25          23
           0          26          24
           0          27          25
          28           5          26
           0          29          27
           0          30          28
           0          31          29
          32           6          30
           0          33          31
           0          34          32
           0          35          33
          36           7          34
           0          37          35
           0          38          36
           0          39          37
          40           8          38
           0           9          39
